,lon,lat,dh,dat
811716,114.1683,30.5061,0,11.1522255
655703,121.3,31.19,0,12.609959
811716,114.1683,30.5061,3,14.329111
655703,121.3,31.19,3,10.01662
811716,114.1683,30.5061,6,14.638566
655703,121.3,31.19,6,17.23502
811716,114.1683,30.5061,9,14.33964
655703,121.3,31.19,9,14.678051
811716,114.1683,30.5061,12,13.849706
655703,121.3,31.19,12,9.832001
811716,114.1683,30.5061,15,13.294591
655703,121.3,31.19,15,9.410499
811716,114.1683,30.5061,18,13.273997
655703,121.3,31.19,18,5.014965
811716,114.1683,30.5061,21,13.266612
655703,121.3,31.19,21,8.060131
811716,114.1683,30.5061,24,13.287206
655703,121.3,31.19,24,11.698028
811716,114.1683,30.5061,27,14.326066
655703,121.3,31.19,27,8.319378
811716,114.1683,30.5061,30,14.558518
655703,121.3,31.19,30,5.3681207
811716,114.1683,30.5061,33,14.286151
655703,121.3,31.19,33,16.435
811716,114.1683,30.5061,36,13.849706
655703,121.3,31.19,36,12.654513
811716,114.1683,30.5061,39,13.390172
655703,121.3,31.19,39,9.208048
811716,114.1683,30.5061,42,13.289196
655703,121.3,31.19,42,0.20799167
811716,114.1683,30.5061,45,10.071802
655703,121.3,31.19,45,0.0
811716,114.1683,30.5061,48,2.456558
655703,121.3,31.19,48,0.018000824
811716,114.1683,30.5061,51,13.063879
655703,121.3,31.19,51,13.126518
811716,114.1683,30.5061,54,14.036158
655703,121.3,31.19,54,16.403517
811716,114.1683,30.5061,57,13.985952
655703,121.3,31.19,57,14.469134
811716,114.1683,30.5061,60,1.9925541
655703,121.3,31.19,60,15.429026
811716,114.1683,30.5061,63,2.5775836
655703,121.3,31.19,63,16.82751
811716,114.1683,30.5061,66,1.562835
655703,121.3,31.19,66,17.64001
811716,114.1683,30.5061,69,2.3293185
655703,121.3,31.19,69,17.736002
811716,114.1683,30.5061,72,2.5098283
655703,121.3,31.19,72,18.345512
811716,114.1683,30.5061,78,2.783549
655703,121.3,31.19,78,18.597534
811716,114.1683,30.5061,84,10.049453
655703,121.3,31.19,84,18.100988
811716,114.1683,30.5061,90,11.829112
655703,121.3,31.19,90,17.740007
811716,114.1683,30.5061,96,12.321254
655703,121.3,31.19,96,17.76501
811716,114.1683,30.5061,102,1.9027406
655703,121.3,31.19,102,18.429516
811716,114.1683,30.5061,108,1.2138504
655703,121.3,31.19,108,17.981024
811716,114.1683,30.5061,114,1.2729194
655703,121.3,31.19,114,12.216866
811716,114.1683,30.5061,120,4.080698
655703,121.3,31.19,120,2.3740172
811716,114.1683,30.5061,126,1.9033324
655703,121.3,31.19,126,2.2994964
811716,114.1683,30.5061,132,10.297879
655703,121.3,31.19,132,1.072007
811716,114.1683,30.5061,138,12.518602
655703,121.3,31.19,138,1.8375053
811716,114.1683,30.5061,144,11.769042
655703,121.3,31.19,144,17.065508
811716,114.1683,30.5061,150,13.7213335
655703,121.3,31.19,150,18.51501
811716,114.1683,30.5061,156,13.955552
655703,121.3,31.19,156,17.94051
811716,114.1683,30.5061,162,14.079112
655703,121.3,31.19,162,17.521505
811716,114.1683,30.5061,168,14.123018
655703,121.3,31.19,168,17.809515
811716,114.1683,30.5061,174,14.079112
655703,121.3,31.19,174,9.552321
811716,114.1683,30.5061,180,3.2710388
655703,121.3,31.19,180,2.456552
811716,114.1683,30.5061,186,3.8046753
655703,121.3,31.19,186,5.0940566
811716,114.1683,30.5061,192,12.452291
655703,121.3,31.19,192,16.49848
811716,114.1683,30.5061,198,13.978135
655703,121.3,31.19,198,16.78551
811716,114.1683,30.5061,204,4.5392456
655703,121.3,31.19,204,11.737236
811716,114.1683,30.5061,210,4.204044
655703,121.3,31.19,210,8.188529
811716,114.1683,30.5061,216,8.630576
655703,121.3,31.19,216,3.5964258
811716,114.1683,30.5061,222,4.1428494
655703,121.3,31.19,222,14.194263
811716,114.1683,30.5061,228,12.370348
655703,121.3,31.19,228,3.4450307
811716,114.1683,30.5061,234,10.785585
655703,121.3,31.19,234,7.176595
811716,114.1683,30.5061,240,12.246578
655703,121.3,31.19,240,15.179529
