,lon,lat,dh,dat
811716,114.1683,30.5061,3,-1.6097488
655703,121.3,31.19,3,-4.25
811716,114.1683,30.5061,6,-1.5104005
655703,121.3,31.19,6,-4.0625
811716,114.1683,30.5061,9,-1.6082304
655703,121.3,31.19,9,-4.375
811716,114.1683,30.5061,12,-1.132618
655703,121.3,31.19,12,-4.112499
811716,114.1683,30.5061,15,-1.8325789
655703,121.3,31.19,15,-4.5
811716,114.1683,30.5061,18,-1.0777434
655703,121.3,31.19,18,-4.200001
811716,114.1683,30.5061,21,-1.050039
655703,121.3,31.19,21,-3.125
811716,114.1683,30.5061,24,-0.995157
655703,121.3,31.19,24,-3.9249992
811716,114.1683,30.5061,27,-0.9999923
655703,121.3,31.19,27,-4.487499
811716,114.1683,30.5061,30,-0.8152826
655703,121.3,31.19,30,-3.6875
811716,114.1683,30.5061,33,-0.8028217
655703,121.3,31.19,33,-2.4375
811716,114.1683,30.5061,36,-1.1249924
655703,121.3,31.19,36,-2.25
811716,114.1683,30.5061,39,-1.5701178
655703,121.3,31.19,39,-3.0499992
811716,114.1683,30.5061,42,-1.4402827
655703,121.3,31.19,42,-3.7999992
811716,114.1683,30.5061,45,-1.1402436
655703,121.3,31.19,45,-4.174999
811716,114.1683,30.5061,48,-0.807657
655703,121.3,31.19,48,-4.612499
811716,114.1683,30.5061,51,-0.9999923
655703,121.3,31.19,51,-4.8125
811716,114.1683,30.5061,54,-1.0304871
655703,121.3,31.19,54,-4.700001
811716,114.1683,30.5061,57,-1.143026
655703,121.3,31.19,57,-4.5625
811716,114.1683,30.5061,60,-1.1402358
655703,121.3,31.19,60,-4.549999
811716,114.1683,30.5061,63,-1.6277902
655703,121.3,31.19,63,-5.237499
811716,114.1683,30.5061,66,-1.5604472
655703,121.3,31.19,66,-4.625
811716,114.1683,30.5061,69,-1.2576256
655703,121.3,31.19,69,-4.4375
811716,114.1683,30.5061,72,-0.63261795
655703,121.3,31.19,72,-5.137501
811716,114.1683,30.5061,75,-0.53963083
655703,121.3,31.19,75,-5.0
811716,114.1683,30.5061,78,0.125
655703,121.3,31.19,78,-4.5
811716,114.1683,30.5061,81,0.4375
655703,121.3,31.19,81,-3.5499992
811716,114.1683,30.5061,84,0.08536911
655703,121.3,31.19,84,-3.4249992
811716,114.1683,30.5061,87,-0.44233534
655703,121.3,31.19,87,-0.8125
811716,114.1683,30.5061,90,-1.2667618
655703,121.3,31.19,90,0.3125
811716,114.1683,30.5061,93,-1.7347564
655703,121.3,31.19,93,0.4375
811716,114.1683,30.5061,96,-2.3993874
655703,121.3,31.19,96,0.75
811716,114.1683,30.5061,99,-2.582052
655703,121.3,31.19,99,-0.4375
811716,114.1683,30.5061,102,-2.0076256
655703,121.3,31.19,102,-0.61249924
811716,114.1683,30.5061,105,-2.5076256
655703,121.3,31.19,105,-1.7374992
811716,114.1683,30.5061,108,-2.4451256
655703,121.3,31.19,108,-2.6749992
811716,114.1683,30.5061,111,-1.0076256
655703,121.3,31.19,111,-2.3250008
811716,114.1683,30.5061,114,-2.9603689
655703,121.3,31.19,114,-2.1875
811716,114.1683,30.5061,117,-0.49516466
655703,121.3,31.19,117,-1.7999992
811716,114.1683,30.5061,120,-4.375
655703,121.3,31.19,120,-0.25
811716,114.1683,30.5061,123,-0.36737442
