,lon,lat,dh,dat
811716,114.1683,30.5061,3,-1.3353614
655703,121.3,31.19,3,-3.6749992
811716,114.1683,30.5061,6,-1.0208163
655703,121.3,31.19,6,-2.9375
811716,114.1683,30.5061,9,-1.16106
655703,121.3,31.19,9,-4.0
811716,114.1683,30.5061,12,-0.8081915
655703,121.3,31.19,12,-4.549999
811716,114.1683,30.5061,15,-1.8005736
655703,121.3,31.19,15,-5.674999
811716,114.1683,30.5061,18,-0.7652435
655703,121.3,31.19,18,-3.625
811716,114.1683,30.5061,21,-0.37016466
655703,121.3,31.19,21,-2.6749992
811716,114.1683,30.5061,24,-0.94511795
655703,121.3,31.19,24,-2.4874992
811716,114.1683,30.5061,27,-0.57774353
655703,121.3,31.19,27,-1.3624992
811716,114.1683,30.5061,30,-0.36737442
655703,121.3,31.19,30,-1.2249985
811716,114.1683,30.5061,33,-0.8048744
655703,121.3,31.19,33,-1.3125
811716,114.1683,30.5061,36,-0.37016466
655703,121.3,31.19,36,1.125
811716,114.1683,30.5061,39,-0.62016463
655703,121.3,31.19,39,1.2000008
811716,114.1683,30.5061,42,-0.8521309
655703,121.3,31.19,42,2.0625
811716,114.1683,30.5061,45,-0.75
655703,121.3,31.19,45,1.0250015
811716,114.1683,30.5061,48,-0.9923744
655703,121.3,31.19,48,0.32500076
811716,114.1683,30.5061,51,-1.487539
655703,121.3,31.19,51,-0.79999924
811716,114.1683,30.5061,54,-1.3152825
655703,121.3,31.19,54,-2.5625
811716,114.1683,30.5061,57,-1.7875782
655703,121.3,31.19,57,-2.125
811716,114.1683,30.5061,60,-2.0972953
655703,121.3,31.19,60,-2.625
811716,114.1683,30.5061,63,-2.3048744
655703,121.3,31.19,63,-1.75
811716,114.1683,30.5061,66,-2.1173742
655703,121.3,31.19,66,-1.0
811716,114.1683,30.5061,69,-1.9146309
655703,121.3,31.19,69,-0.4375
811716,114.1683,30.5061,72,-1.5347955
655703,121.3,31.19,72,0.375
811716,114.1683,30.5061,75,-2.5
655703,121.3,31.19,75,0.6875
811716,114.1683,30.5061,78,-2.0624998
655703,121.3,31.19,78,1.25
811716,114.1683,30.5061,81,-1.7271309
655703,121.3,31.19,81,1.125
811716,114.1683,30.5061,84,-1.4771309
655703,121.3,31.19,84,1.4874992
811716,114.1683,30.5061,87,-1.1798744
655703,121.3,31.19,87,0.23749924
811716,114.1683,30.5061,90,-1.1597955
655703,121.3,31.19,90,0.3125
811716,114.1683,30.5061,93,-0.7847955
655703,121.3,31.19,93,1.0625
811716,114.1683,30.5061,96,-0.5625
655703,121.3,31.19,96,0.61249924
811716,114.1683,30.5061,99,-0.25
655703,121.3,31.19,99,1.1375008
811716,114.1683,30.5061,102,0.16463089
655703,121.3,31.19,102,1.1875
811716,114.1683,30.5061,105,-0.1875
655703,121.3,31.19,105,1.375
811716,114.1683,30.5061,108,-0.042421132
655703,121.3,31.19,108,2.1875
811716,114.1683,30.5061,111,0.39507884
655703,121.3,31.19,111,-2.4124985
811716,114.1683,30.5061,114,-0.79725647
655703,121.3,31.19,114,1.0750008
811716,114.1683,30.5061,117,-1.0576645
655703,121.3,31.19,117,-0.32500076
811716,114.1683,30.5061,120,-0.25
655703,121.3,31.19,120,0.32500076
811716,114.1683,30.5061,123,-0.0048353365
655703,121.3,31.19,123,-0.625
811716,114.1683,30.5061,126,0.3125
655703,121.3,31.19,126,-0.15000153
811716,114.1683,30.5061,129,-0.2728691
655703,121.3,31.19,129,0.17499924
811716,114.1683,30.5061,132,-0.10213089
655703,121.3,31.19,132,0.125
811716,114.1683,30.5061,135,-0.5
655703,121.3,31.19,135,0.8375015
811716,114.1683,30.5061,138,-1.3521308
655703,121.3,31.19,138,0.67499924
811716,114.1683,30.5061,141,-1.3673744
655703,121.3,31.19,141,0.42499924
811716,114.1683,30.5061,144,-1.2423744
655703,121.3,31.19,144,0.024997711
811716,114.1683,30.5061,147,-0.83257884
655703,121.3,31.19,147,0.13749695
811716,114.1683,30.5061,150,-1.8277435
655703,121.3,31.19,150,0.19999695
811716,114.1683,30.5061,153,-1.8902435
655703,121.3,31.19,153,0.36249924
811716,114.1683,30.5061,156,-1.800039
655703,121.3,31.19,156,-1.1124992
811716,114.1683,30.5061,159,-1.8152825
655703,121.3,31.19,159,-2.1749992
811716,114.1683,30.5061,162,-2.7479472
655703,121.3,31.19,162,-2.2374992
811716,114.1683,30.5061,165,-2.3854082
655703,121.3,31.19,165,-2.25
811716,114.1683,30.5061,168,-2.0652826
