,lon,lat,dh,dat
811716,114.1683,30.5061,3,-1.2527827
655703,121.3,31.19,3,-1.4500046
811716,114.1683,30.5061,6,-1.370157
655703,121.3,31.19,6,-2.100006
811716,114.1683,30.5061,9,-1.0424135
655703,121.3,31.19,9,-2.7500076
811716,114.1683,30.5061,12,-0.870157
655703,121.3,31.19,12,-2.5500107
811716,114.1683,30.5061,15,-1.065275
655703,121.3,31.19,15,-1.7000084
811716,114.1683,30.5061,18,-1.143026
655703,121.3,31.19,18,-2.5750084
811716,114.1683,30.5061,21,-1.2131441
655703,121.3,31.19,21,-2.6750107
811716,114.1683,30.5061,24,-0.9158952
655703,121.3,31.19,24,-3.28751
811716,114.1683,30.5061,27,-1.5228615
655703,121.3,31.19,27,-3.7500153
811716,114.1683,30.5061,30,-0.75
655703,121.3,31.19,30,-3.41251
811716,114.1683,30.5061,33,-0.24237442
655703,121.3,31.19,33,-2.5500107
811716,114.1683,30.5061,36,-0.745157
655703,121.3,31.19,36,-2.6750107
811716,114.1683,30.5061,39,-0.5652826
655703,121.3,31.19,39,-2.6875076
811716,114.1683,30.5061,42,0.05487442
655703,121.3,31.19,42,-2.0250092
811716,114.1683,30.5061,45,-0.3125
655703,121.3,31.19,45,-0.7750015
811716,114.1683,30.5061,48,-0.49516466
655703,121.3,31.19,48,0.025001526
811716,114.1683,30.5061,51,-1.1798744
655703,121.3,31.19,51,1.5000038
811716,114.1683,30.5061,54,-0.5972955
655703,121.3,31.19,54,2.287506
811716,114.1683,30.5061,57,-0.7271309
655703,121.3,31.19,57,0.67500305
811716,114.1683,30.5061,60,-1.2423744
655703,121.3,31.19,60,0.125
811716,114.1683,30.5061,63,-1.550039
655703,121.3,31.19,63,-0.67500305
811716,114.1683,30.5061,66,-1.6750392
655703,121.3,31.19,66,-1.1625061
811716,114.1683,30.5061,69,-1.612539
655703,121.3,31.19,69,-0.7500038
811716,114.1683,30.5061,72,-1.7847955
655703,121.3,31.19,72,-0.9375038
811716,114.1683,30.5061,75,-3.737539
655703,121.3,31.19,75,-1.0
811716,114.1683,30.5061,78,-2.5576646
655703,121.3,31.19,78,-0.17499924
811716,114.1683,30.5061,81,-2.0853689
655703,121.3,31.19,81,0.0625
811716,114.1683,30.5061,84,-1.8701646
655703,121.3,31.19,84,0.6875
811716,114.1683,30.5061,87,-2.3125
655703,121.3,31.19,87,1.1875
811716,114.1683,30.5061,90,-2.0
655703,121.3,31.19,90,1.75
811716,114.1683,30.5061,93,-1.5347955
655703,121.3,31.19,93,1.625
811716,114.1683,30.5061,96,-2.039631
655703,121.3,31.19,96,1.4249992
811716,114.1683,30.5061,99,-1.75
655703,121.3,31.19,99,0.20000076
811716,114.1683,30.5061,102,-0.9347097
655703,121.3,31.19,102,-0.23749924
811716,114.1683,30.5061,105,-0.75
