,lon,lat,dh,dat
811716,114.1683,30.5061,3,0.80003905
655703,121.3,31.19,3,-1.5125008
811716,114.1683,30.5061,6,-0.00762558
655703,121.3,31.19,6,-0.95000076
811716,114.1683,30.5061,9,0.18266466
655703,121.3,31.19,9,-0.88750076
811716,114.1683,30.5061,12,0.24516466
655703,121.3,31.19,12,-0.76250076
811716,114.1683,30.5061,15,-0.7847955
655703,121.3,31.19,15,-0.20000076
811716,114.1683,30.5061,18,-1.2327038
655703,121.3,31.19,18,-1.0
811716,114.1683,30.5061,21,-1.112539
655703,121.3,31.19,21,-2.125
811716,114.1683,30.5061,24,-0.51524353
655703,121.3,31.19,24,-1.7000008
811716,114.1683,30.5061,27,-0.37016466
655703,121.3,31.19,27,-0.76250076
811716,114.1683,30.5061,30,-0.67503905
655703,121.3,31.19,30,-1.375
811716,114.1683,30.5061,33,-0.44511792
655703,121.3,31.19,33,-1.6875
811716,114.1683,30.5061,36,0.0625
655703,121.3,31.19,36,-2.1875
811716,114.1683,30.5061,39,0.58536905
655703,121.3,31.19,39,-1.2625008
811716,114.1683,30.5061,42,0.79294795
655703,121.3,31.19,42,-0.3125
811716,114.1683,30.5061,45,0.00762558
655703,121.3,31.19,45,-0.70000076
811716,114.1683,30.5061,48,-0.30487442
655703,121.3,31.19,48,-0.82500076
811716,114.1683,30.5061,51,0.14507887
655703,121.3,31.19,51,-0.26250076
811716,114.1683,30.5061,54,0.20757887
655703,121.3,31.19,54,-0.125
811716,114.1683,30.5061,57,0.11737442
655703,121.3,31.19,57,-0.70000076
811716,114.1683,30.5061,60,0.37778258
655703,121.3,31.19,60,-1.1375008
811716,114.1683,30.5061,63,0.82774353
655703,121.3,31.19,63,-0.95000076
811716,114.1683,30.5061,66,0.21520445
655703,121.3,31.19,66,-1.375
811716,114.1683,30.5061,69,-0.7423744
655703,121.3,31.19,69,-2.0
811716,114.1683,30.5061,72,-0.682657
655703,121.3,31.19,72,-1.2625008
811716,114.1683,30.5061,75,-1.25
655703,121.3,31.19,75,-0.42499924
