,lon,lat,dh,dat
811716,114.1683,30.5061,3,-1.3401967
655703,121.3,31.19,3,-5.112499
811716,114.1683,30.5061,6,-0.78274286
655703,121.3,31.19,6,-5.625
811716,114.1683,30.5061,9,-0.63261795
655703,121.3,31.19,9,-5.174999
811716,114.1683,30.5061,12,-0.40979552
655703,121.3,31.19,12,-4.987499
811716,114.1683,30.5061,15,-0.5625
655703,121.3,31.19,15,-5.4375
811716,114.1683,30.5061,18,-0.8472955
655703,121.3,31.19,18,-6.237499
811716,114.1683,30.5061,21,-0.71466994
655703,121.3,31.19,21,-5.0625
811716,114.1683,30.5061,24,-0.17987442
655703,121.3,31.19,24,-4.737499
811716,114.1683,30.5061,27,-0.35975647
655703,121.3,31.19,27,-4.0
811716,114.1683,30.5061,30,0.08536911
655703,121.3,31.19,30,-3.8125
811716,114.1683,30.5061,33,0.18266466
655703,121.3,31.19,33,-3.625
811716,114.1683,30.5061,36,0.21036911
655703,121.3,31.19,36,-3.2000008
811716,114.1683,30.5061,39,0.875
655703,121.3,31.19,39,-2.0625
811716,114.1683,30.5061,42,1.0777434
655703,121.3,31.19,42,-2.0
811716,114.1683,30.5061,45,-0.58966994
655703,121.3,31.19,45,-1.5125008
811716,114.1683,30.5061,48,-1.4847488
655703,121.3,31.19,48,-0.9000015
811716,114.1683,30.5061,51,-1.382618
655703,121.3,31.19,51,0.22499847
811716,114.1683,30.5061,54,-0.94028264
655703,121.3,31.19,54,0.375
811716,114.1683,30.5061,57,-0.69306517
655703,121.3,31.19,57,-0.25
811716,114.1683,30.5061,60,-0.8104472
655703,121.3,31.19,60,-0.25
811716,114.1683,30.5061,63,-0.8673744
655703,121.3,31.19,63,1.125
811716,114.1683,30.5061,66,0.3020918
655703,121.3,31.19,66,1.2374992
811716,114.1683,30.5061,69,0.58966994
655703,121.3,31.19,69,0.9375
811716,114.1683,30.5061,72,0.49794725
655703,121.3,31.19,72,1.1749992
811716,114.1683,30.5061,75,0.375
655703,121.3,31.19,75,1.4874992
811716,114.1683,30.5061,78,-0.49516466
655703,121.3,31.19,78,1.1749992
811716,114.1683,30.5061,81,-0.3125
655703,121.3,31.19,81,0.125
811716,114.1683,30.5061,84,0.4375
655703,121.3,31.19,84,-1.2000008
811716,114.1683,30.5061,87,0.7777044
655703,121.3,31.19,87,-1.4500008
811716,114.1683,30.5061,90,0.47283
655703,121.3,31.19,90,-1.0
811716,114.1683,30.5061,93,-0.11253908
655703,121.3,31.19,93,-1.625
811716,114.1683,30.5061,96,-0.24237442
655703,121.3,31.19,96,-1.1375008
811716,114.1683,30.5061,99,-0.18266466
