,lon,lat,dh,dat
811716,114.1683,30.5061,3,0.52007884
655703,121.3,31.19,3,-2.7500076
811716,114.1683,30.5061,6,0.25279024
655703,121.3,31.19,6,-2.1750069
811716,114.1683,30.5061,9,0.3902435
655703,121.3,31.19,9,-1.4625053
811716,114.1683,30.5061,12,0.51524353
655703,121.3,31.19,12,-1.3500061
811716,114.1683,30.5061,15,0.542948
655703,121.3,31.19,15,-0.8875046
811716,114.1683,30.5061,18,-1.007618
655703,121.3,31.19,18,-0.8750038
811716,114.1683,30.5061,21,-0.625
655703,121.3,31.19,21,-1.0625038
811716,114.1683,30.5061,24,-0.16463089
655703,121.3,31.19,24,-0.8750038
811716,114.1683,30.5061,27,-1.5027827
655703,121.3,31.19,27,-0.26250076
811716,114.1683,30.5061,30,-1.038105
655703,121.3,31.19,30,-0.46250153
811716,114.1683,30.5061,33,-0.8028217
655703,121.3,31.19,33,-1.4750061
811716,114.1683,30.5061,36,-0.48270375
655703,121.3,31.19,36,-1.1250038
811716,114.1683,30.5061,39,-0.84782237
655703,121.3,31.19,39,-0.46250153
811716,114.1683,30.5061,42,-0.44790816
655703,121.3,31.19,42,-0.27500153
811716,114.1683,30.5061,45,-0.36253908
655703,121.3,31.19,45,-1.0000038
811716,114.1683,30.5061,48,-0.5576647
655703,121.3,31.19,48,-1.4125061
811716,114.1683,30.5061,51,0.78533
655703,121.3,31.19,51,-1.2625046
811716,114.1683,30.5061,54,0.5701256
655703,121.3,31.19,54,-0.7875023
811716,114.1683,30.5061,57,0.3325865
655703,121.3,31.19,57,-0.5250015
811716,114.1683,30.5061,60,0.16033003
655703,121.3,31.19,60,0.13750076
811716,114.1683,30.5061,63,0.0
655703,121.3,31.19,63,0.26250076
811716,114.1683,30.5061,66,-0.5701179
655703,121.3,31.19,66,-0.13750076
811716,114.1683,30.5061,69,-0.92782176
655703,121.3,31.19,69,-0.80000305
811716,114.1683,30.5061,72,-1.007618
655703,121.3,31.19,72,-1.1375046
811716,114.1683,30.5061,75,-1.625
655703,121.3,31.19,75,-1.25
811716,114.1683,30.5061,78,-1.5673354
655703,121.3,31.19,78,-0.9375
811716,114.1683,30.5061,81,-1.5625
655703,121.3,31.19,81,-1.4375
811716,114.1683,30.5061,84,-2.06529
655703,121.3,31.19,84,-2.5750008
811716,114.1683,30.5061,87,-2.0027902
655703,121.3,31.19,87,-2.4000015
811716,114.1683,30.5061,90,-2.5076256
655703,121.3,31.19,90,-2.5750008
811716,114.1683,30.5061,93,-2.897869
655703,121.3,31.19,93,-3.0
811716,114.1683,30.5061,96,-2.397869
655703,121.3,31.19,96,-3.25
811716,114.1683,30.5061,99,-3.125
655703,121.3,31.19,99,-3.4500008
811716,114.1683,30.5061,102,-4.0027905
655703,121.3,31.19,102,-3.2000008
811716,114.1683,30.5061,105,-4.7055335
655703,121.3,31.19,105,-3.7625008
811716,114.1683,30.5061,108,-4.710369
655703,121.3,31.19,108,-3.7625008
811716,114.1683,30.5061,111,-6.6125464
655703,121.3,31.19,111,-7.199997
811716,114.1683,30.5061,114,-4.195125
655703,121.3,31.19,114,-3.4874992
811716,114.1683,30.5061,117,-7.125
655703,121.3,31.19,117,-6.987499
811716,114.1683,30.5061,120,-4.8429947
655703,121.3,31.19,120,-3.1124992
811716,114.1683,30.5061,123,-3.9707773
655703,121.3,31.19,123,-7.424999
811716,114.1683,30.5061,126,-5.9679947
655703,121.3,31.19,126,-2.9874992
811716,114.1683,30.5061,129,-3.1311073
655703,121.3,31.19,129,-5.762501
811716,114.1683,30.5061,132,-6.4402905
655703,121.3,31.19,132,-5.5999985
811716,114.1683,30.5061,135,-2.705534
655703,121.3,31.19,135,-4.0
811716,114.1683,30.5061,138,-5.1875
655703,121.3,31.19,138,-7.2249985
811716,114.1683,30.5061,141,-2.1826649
655703,121.3,31.19,141,-4.075001
811716,114.1683,30.5061,144,-5.25
655703,121.3,31.19,144,-6.674999
811716,114.1683,30.5061,147,-1.8201256
655703,121.3,31.19,147,-3.9874992
811716,114.1683,30.5061,150,-5.375
655703,121.3,31.19,150,-5.7249985
811716,114.1683,30.5061,153,-3.1173744
655703,121.3,31.19,153,-3.7625008
811716,114.1683,30.5061,156,-4.75
655703,121.3,31.19,156,-4.799999
811716,114.1683,30.5061,159,-4.417421
655703,121.3,31.19,159,-3.1875
811716,114.1683,30.5061,162,-4.7576256
655703,121.3,31.19,162,-3.625
811716,114.1683,30.5061,165,-3.7527902
655703,121.3,31.19,165,-4.012501
811716,114.1683,30.5061,168,-4.25279
655703,121.3,31.19,168,-3.7125015
811716,114.1683,30.5061,171,-4.932665
655703,121.3,31.19,171,-3.9874992
811716,114.1683,30.5061,174,-4.5228686
655703,121.3,31.19,174,-4.75
811716,114.1683,30.5061,177,-3.9555335
655703,121.3,31.19,177,-6.387501
811716,114.1683,30.5061,180,-3.5027902
655703,121.3,31.19,180,-5.924999
811716,114.1683,30.5061,183,-3.385408
655703,121.3,31.19,183,-6.5250015
811716,114.1683,30.5061,186,-3.3402042
655703,121.3,31.19,186,-6.112499
811716,114.1683,30.5061,189,-3.7451646
655703,121.3,31.19,189,-6.799999
811716,114.1683,30.5061,192,-3.1951256
655703,121.3,31.19,192,-6.112499
811716,114.1683,30.5061,195,-2.7728689
655703,121.3,31.19,195,-6.75
811716,114.1683,30.5061,198,-3.8729548
655703,121.3,31.19,198,-6.612499
811716,114.1683,30.5061,201,-3.3353689
655703,121.3,31.19,201,-6.799999
811716,114.1683,30.5061,204,-3.8978689
655703,121.3,31.19,204,-5.625
811716,114.1683,30.5061,207,-1.9603691
655703,121.3,31.19,207,-5.0999985
811716,114.1683,30.5061,210,-4.12779
655703,121.3,31.19,210,-4.9375
811716,114.1683,30.5061,213,-0.804882
655703,121.3,31.19,213,-5.1875
811716,114.1683,30.5061,216,-3.9375
655703,121.3,31.19,216,-5.75
811716,114.1683,30.5061,219,-1.1826646
655703,121.3,31.19,219,-5.549999
811716,114.1683,30.5061,222,-4.042421
655703,121.3,31.19,222,-7.174999
811716,114.1683,30.5061,225,-0.37779024
655703,121.3,31.19,225,-5.637501
811716,114.1683,30.5061,228,-3.5576646
655703,121.3,31.19,228,-5.875
811716,114.1683,30.5061,231,-1.6277902
655703,121.3,31.19,231,-4.9124985
811716,114.1683,30.5061,234,-3.7527902
655703,121.3,31.19,234,-5.625
811716,114.1683,30.5061,237,-0.6125467
655703,121.3,31.19,237,-4.674999
811716,114.1683,30.5061,240,-1.125
655703,121.3,31.19,240,-0.76250076
