,lon,lat,dh,dat
NEACC,121.3,31.19,0,12.982003
NEACC,121.3,31.19,3,10.974009
NEACC,121.3,31.19,6,10.5549965
NEACC,121.3,31.19,9,11.276517
NEACC,121.3,31.19,12,15.088011
NEACC,121.3,31.19,15,20.399027
NEACC,121.3,31.19,18,21.532494
NEACC,121.3,31.19,21,18.259502
NEACC,121.3,31.19,24,17.515007
NEACC,121.3,31.19,27,16.74551
NEACC,121.3,31.19,30,15.989517
NEACC,121.3,31.19,33,16.949505
NEACC,121.3,31.19,36,18.027504
NEACC,121.3,31.19,39,22.42799
NEACC,121.3,31.19,42,22.705002
NEACC,121.3,31.19,45,19.628017
NEACC,121.3,31.19,48,17.296001
NEACC,121.3,31.19,51,16.226046
NEACC,121.3,31.19,54,16.581518
NEACC,121.3,31.19,57,15.604032
NEACC,121.3,31.19,60,16.198017
NEACC,121.3,31.19,63,19.445015
NEACC,121.3,31.19,66,20.707985
NEACC,121.3,31.19,69,19.449017
NEACC,121.3,31.19,72,15.282509
NEACC,121.3,31.19,78,13.109011
NEACC,121.3,31.19,84,11.50201
NEACC,121.3,31.19,90,12.270012
NEACC,121.3,31.19,96,9.808512
NEACC,121.3,31.19,102,8.336995
NEACC,121.3,31.19,108,9.984501
NEACC,121.3,31.19,114,14.952
NEACC,121.3,31.19,120,11.272003
NEACC,121.3,31.19,126,10.052003
NEACC,121.3,31.19,132,11.928008
NEACC,121.3,31.19,138,14.445016
NEACC,121.3,31.19,144,13.1565075
NEACC,121.3,31.19,150,12.708015
NEACC,121.3,31.19,156,12.335008
NEACC,121.3,31.19,162,13.838009
NEACC,121.3,31.19,168,10.106001
NEACC,121.3,31.19,174,9.155498
NEACC,121.3,31.19,180,9.625004
NEACC,121.3,31.19,186,13.197509
NEACC,121.3,31.19,192,10.906015
NEACC,121.3,31.19,198,11.101511
NEACC,121.3,31.19,204,12.258509
NEACC,121.3,31.19,210,13.194505
NEACC,121.3,31.19,216,11.474
NEACC,121.3,31.19,222,12.00251
NEACC,121.3,31.19,228,12.393015
NEACC,121.3,31.19,234,14.794499
NEACC,121.3,31.19,240,13.108508
