,lon,lat,dh,dat
NEACC,121.3,31.19,0,11.874506
NEACC,121.3,31.19,3,16.331
NEACC,121.3,31.19,6,17.286997
NEACC,121.3,31.19,9,14.030498
NEACC,121.3,31.19,12,11.192002
NEACC,121.3,31.19,15,10.5685215
NEACC,121.3,31.19,18,10.201523
NEACC,121.3,31.19,21,9.510024
NEACC,121.3,31.19,24,13.118521
NEACC,121.3,31.19,27,19.133987
NEACC,121.3,31.19,30,19.937477
NEACC,121.3,31.19,33,15.808496
NEACC,121.3,31.19,36,14.096018
NEACC,121.3,31.19,39,14.529016
NEACC,121.3,31.19,42,13.230517
NEACC,121.3,31.19,45,12.808527
NEACC,121.3,31.19,48,15.272518
NEACC,121.3,31.19,51,21.622984
NEACC,121.3,31.19,54,22.26348
NEACC,121.3,31.19,57,18.748491
NEACC,121.3,31.19,60,17.70901
NEACC,121.3,31.19,63,17.42701
NEACC,121.3,31.19,66,17.832508
NEACC,121.3,31.19,69,17.32301
NEACC,121.3,31.19,72,19.685509
NEACC,121.3,31.19,78,25.521984
NEACC,121.3,31.19,84,18.20651
NEACC,121.3,31.19,90,16.279507
NEACC,121.3,31.19,96,11.824006
NEACC,121.3,31.19,102,11.681524
NEACC,121.3,31.19,108,8.329008
NEACC,121.3,31.19,114,5.960521
NEACC,121.3,31.19,120,7.0415015
NEACC,121.3,31.19,126,12.600501
NEACC,121.3,31.19,132,7.3835206
NEACC,121.3,31.19,138,6.2060146
NEACC,121.3,31.19,144,11.206517
NEACC,121.3,31.19,150,15.435501
NEACC,121.3,31.19,156,12.726519
NEACC,121.3,31.19,162,12.770511
NEACC,121.3,31.19,168,14.722504
NEACC,121.3,31.19,174,18.090994
NEACC,121.3,31.19,180,13.052498
NEACC,121.3,31.19,186,10.873522
NEACC,121.3,31.19,192,15.416498
NEACC,121.3,31.19,198,20.017502
NEACC,121.3,31.19,204,16.705006
NEACC,121.3,31.19,210,16.20352
NEACC,121.3,31.19,216,17.512505
NEACC,121.3,31.19,222,22.415987
NEACC,121.3,31.19,228,17.080994
NEACC,121.3,31.19,234,16.055008
NEACC,121.3,31.19,240,11.15851
