,lon,lat,dh,dat
NEACC,121.3,31.19,0,15.371012
NEACC,121.3,31.19,3,21.812496
NEACC,121.3,31.19,6,23.760468
NEACC,121.3,31.19,9,18.210464
NEACC,121.3,31.19,12,16.857513
NEACC,121.3,31.19,15,16.82301
NEACC,121.3,31.19,18,16.435513
NEACC,121.3,31.19,21,16.142517
NEACC,121.3,31.19,24,17.973513
NEACC,121.3,31.19,27,23.069519
NEACC,121.3,31.19,30,24.390041
NEACC,121.3,31.19,33,20.63602
NEACC,121.3,31.19,36,18.811022
NEACC,121.3,31.19,39,17.51202
NEACC,121.3,31.19,42,16.49001
NEACC,121.3,31.19,45,13.39502
NEACC,121.3,31.19,48,12.255009
NEACC,121.3,31.19,51,10.732007
NEACC,121.3,31.19,54,10.300484
NEACC,121.3,31.19,57,9.99701
NEACC,121.3,31.19,60,8.978506
NEACC,121.3,31.19,63,7.7960076
NEACC,121.3,31.19,66,6.3770146
NEACC,121.3,31.19,69,4.3980246
NEACC,121.3,31.19,72,6.411006
NEACC,121.3,31.19,78,13.260505
NEACC,121.3,31.19,84,7.543021
NEACC,121.3,31.19,90,6.7760334
NEACC,121.3,31.19,96,11.191024
NEACC,121.3,31.19,102,15.620003
NEACC,121.3,31.19,108,13.226515
NEACC,121.3,31.19,114,12.352524
NEACC,121.3,31.19,120,14.5560055
NEACC,121.3,31.19,126,18.752998
NEACC,121.3,31.19,132,14.589989
NEACC,121.3,31.19,138,11.215004
NEACC,121.3,31.19,144,15.116998
NEACC,121.3,31.19,150,19.462982
NEACC,121.3,31.19,156,15.779489
NEACC,121.3,31.19,162,15.104511
NEACC,121.3,31.19,168,17.755009
NEACC,121.3,31.19,174,23.041983
NEACC,121.3,31.19,180,18.724998
NEACC,121.3,31.19,186,18.761015
NEACC,121.3,31.19,192,20.19051
NEACC,121.3,31.19,198,21.553505
NEACC,121.3,31.19,204,19.374006
NEACC,121.3,31.19,210,18.15851
NEACC,121.3,31.19,216,18.492504
NEACC,121.3,31.19,222,17.702019
NEACC,121.3,31.19,228,13.596505
NEACC,121.3,31.19,234,11.702507
NEACC,121.3,31.19,240,10.615508
