,lon,lat,dh,dat
NEACC,121.3,31.19,0,8.686532
NEACC,121.3,31.19,3,6.4180174
NEACC,121.3,31.19,6,5.201516
NEACC,121.3,31.19,9,3.9140182
NEACC,121.3,31.19,12,6.0945063
NEACC,121.3,31.19,15,12.363002
NEACC,121.3,31.19,18,13.6745
NEACC,121.3,31.19,21,10.496511
NEACC,121.3,31.19,24,7.848529
NEACC,121.3,31.19,27,6.3865294
NEACC,121.3,31.19,30,6.4945183
NEACC,121.3,31.19,33,6.9490213
NEACC,121.3,31.19,36,10.621
NEACC,121.3,31.19,39,15.646009
NEACC,121.3,31.19,42,16.0785
NEACC,121.3,31.19,45,13.755504
NEACC,121.3,31.19,48,12.652004
NEACC,121.3,31.19,51,12.702518
NEACC,121.3,31.19,54,11.946508
NEACC,121.3,31.19,57,12.525516
NEACC,121.3,31.19,60,14.561993
NEACC,121.3,31.19,63,16.820993
NEACC,121.3,31.19,66,17.424013
NEACC,121.3,31.19,69,15.648504
NEACC,121.3,31.19,72,13.322994
NEACC,121.3,31.19,78,11.07951
NEACC,121.3,31.19,84,14.709499
NEACC,121.3,31.19,90,22.542507
NEACC,121.3,31.19,96,16.974998
NEACC,121.3,31.19,102,17.002008
NEACC,121.3,31.19,108,19.553497
NEACC,121.3,31.19,114,22.546497
NEACC,121.3,31.19,120,20.390495
NEACC,121.3,31.19,126,19.114998
NEACC,121.3,31.19,132,20.013996
NEACC,121.3,31.19,138,23.883
NEACC,121.3,31.19,144,17.343513
NEACC,121.3,31.19,150,14.679007
NEACC,121.3,31.19,156,13.082512
NEACC,121.3,31.19,162,12.958007
NEACC,121.3,31.19,168,10.189995
NEACC,121.3,31.19,174,9.744
NEACC,121.3,31.19,180,10.792005
NEACC,121.3,31.19,186,12.995506
NEACC,121.3,31.19,192,11.729504
NEACC,121.3,31.19,198,11.335011
NEACC,121.3,31.19,204,12.832999
NEACC,121.3,31.19,210,15.096524
NEACC,121.3,31.19,216,14.612027
NEACC,121.3,31.19,222,13.980516
NEACC,121.3,31.19,228,15.0820055
NEACC,121.3,31.19,234,15.664004
NEACC,121.3,31.19,240,13.189005
