,lon,lat,dh,dat
NEACC,121.3,31.19,0,11.307015
NEACC,121.3,31.19,3,11.205006
NEACC,121.3,31.19,6,11.674992
NEACC,121.3,31.19,9,10.849503
NEACC,121.3,31.19,12,8.144033
NEACC,121.3,31.19,15,5.866022
NEACC,121.3,31.19,18,4.6070147
NEACC,121.3,31.19,21,3.6810172
NEACC,121.3,31.19,24,5.968009
NEACC,121.3,31.19,27,12.1815
NEACC,121.3,31.19,30,13.5625
NEACC,121.3,31.19,33,10.227013
NEACC,121.3,31.19,36,7.4695253
NEACC,121.3,31.19,39,6.597016
NEACC,121.3,31.19,42,6.6015177
NEACC,121.3,31.19,45,7.0235043
NEACC,121.3,31.19,48,10.621504
NEACC,121.3,31.19,51,15.515505
NEACC,121.3,31.19,54,15.658005
NEACC,121.3,31.19,57,13.549021
NEACC,121.3,31.19,60,12.200988
NEACC,121.3,31.19,63,12.5355215
NEACC,121.3,31.19,66,11.411009
NEACC,121.3,31.19,69,12.561494
NEACC,121.3,31.19,72,14.414497
NEACC,121.3,31.19,78,18.217514
NEACC,121.3,31.19,84,13.900999
NEACC,121.3,31.19,90,12.5230055
NEACC,121.3,31.19,96,15.169004
NEACC,121.3,31.19,102,21.678995
NEACC,121.3,31.19,108,15.145011
NEACC,121.3,31.19,114,15.91001
NEACC,121.3,31.19,120,18.667006
NEACC,121.3,31.19,126,24.755463
NEACC,121.3,31.19,132,19.841002
NEACC,121.3,31.19,138,19.103004
NEACC,121.3,31.19,144,20.3125
NEACC,121.3,31.19,150,22.213017
NEACC,121.3,31.19,156,14.632515
NEACC,121.3,31.19,162,12.67452
NEACC,121.3,31.19,168,12.478506
NEACC,121.3,31.19,174,13.928005
NEACC,121.3,31.19,180,11.352493
NEACC,121.3,31.19,186,8.964018
NEACC,121.3,31.19,192,10.696505
NEACC,121.3,31.19,198,18.05851
NEACC,121.3,31.19,204,13.299508
NEACC,121.3,31.19,210,13.136507
NEACC,121.3,31.19,216,13.85551
NEACC,121.3,31.19,222,14.807504
NEACC,121.3,31.19,228,13.10351
NEACC,121.3,31.19,234,11.401
NEACC,121.3,31.19,240,11.406004
