,lon,lat,dh,dat
NEACC,121.3,31.19,0,15.100013
NEACC,121.3,31.19,3,14.2080145
NEACC,121.3,31.19,6,13.128016
NEACC,121.3,31.19,9,12.175017
NEACC,121.3,31.19,12,15.045511
NEACC,121.3,31.19,15,21.843498
NEACC,121.3,31.19,18,23.023464
NEACC,121.3,31.19,21,18.40699
NEACC,121.3,31.19,24,16.67151
NEACC,121.3,31.19,27,17.057514
NEACC,121.3,31.19,30,17.00951
NEACC,121.3,31.19,33,16.197018
NEACC,121.3,31.19,36,18.54802
NEACC,121.3,31.19,39,23.990993
NEACC,121.3,31.19,42,26.042984
NEACC,121.3,31.19,45,22.205524
NEACC,121.3,31.19,48,18.63752
NEACC,121.3,31.19,51,17.331501
NEACC,121.3,31.19,54,16.554508
NEACC,121.3,31.19,57,13.870019
NEACC,121.3,31.19,60,13.365512
NEACC,121.3,31.19,63,12.623016
NEACC,121.3,31.19,66,12.853007
NEACC,121.3,31.19,69,10.845009
NEACC,121.3,31.19,72,9.802007
NEACC,121.3,31.19,78,7.6905127
NEACC,121.3,31.19,84,7.3285055
NEACC,121.3,31.19,90,13.293001
NEACC,121.3,31.19,96,7.780513
NEACC,121.3,31.19,102,6.6120195
NEACC,121.3,31.19,108,10.404001
NEACC,121.3,31.19,114,15.266001
NEACC,121.3,31.19,120,12.821013
NEACC,121.3,31.19,126,12.874513
NEACC,121.3,31.19,132,13.979002
NEACC,121.3,31.19,138,17.998991
NEACC,121.3,31.19,144,14.0
NEACC,121.3,31.19,150,10.872018
NEACC,121.3,31.19,156,14.867008
NEACC,121.3,31.19,162,20.289003
NEACC,121.3,31.19,168,14.423506
NEACC,121.3,31.19,174,13.529001
NEACC,121.3,31.19,180,16.906507
NEACC,121.3,31.19,186,23.102009
NEACC,121.3,31.19,192,18.943499
NEACC,121.3,31.19,198,17.551008
NEACC,121.3,31.19,204,19.611006
NEACC,121.3,31.19,210,22.688
NEACC,121.3,31.19,216,19.23301
NEACC,121.3,31.19,222,19.102009
NEACC,121.3,31.19,228,19.612503
NEACC,121.3,31.19,234,22.27549
NEACC,121.3,31.19,240,19.026495
