,lon,lat,dh,dat
NEACC,121.3,31.19,0,17.842007
NEACC,121.3,31.19,3,21.721018
NEACC,121.3,31.19,6,24.57552
NEACC,121.3,31.19,9,21.470982
NEACC,121.3,31.19,12,18.846014
NEACC,121.3,31.19,15,17.525002
NEACC,121.3,31.19,18,15.98854
NEACC,121.3,31.19,21,12.691019
NEACC,121.3,31.19,24,11.313023
NEACC,121.3,31.19,27,13.343988
NEACC,121.3,31.19,30,13.025504
NEACC,121.3,31.19,33,10.872009
NEACC,121.3,31.19,36,9.521509
NEACC,121.3,31.19,39,7.9235215
NEACC,121.3,31.19,42,7.5080137
NEACC,121.3,31.19,45,5.508517
NEACC,121.3,31.19,48,6.85901
NEACC,121.3,31.19,51,12.155003
NEACC,121.3,31.19,54,13.445499
NEACC,121.3,31.19,57,10.276513
NEACC,121.3,31.19,60,7.0880313
NEACC,121.3,31.19,63,7.0550346
NEACC,121.3,31.19,66,7.1955214
NEACC,121.3,31.19,69,7.2360096
NEACC,121.3,31.19,72,11.000503
NEACC,121.3,31.19,78,16.259
NEACC,121.3,31.19,84,12.297969
NEACC,121.3,31.19,90,12.240028
NEACC,121.3,31.19,96,15.004003
NEACC,121.3,31.19,102,19.522495
NEACC,121.3,31.19,108,14.833997
NEACC,121.3,31.19,114,13.291006
NEACC,121.3,31.19,120,14.990009
NEACC,121.3,31.19,126,22.064499
NEACC,121.3,31.19,132,15.078994
NEACC,121.3,31.19,138,14.482002
NEACC,121.3,31.19,144,18.229496
NEACC,121.3,31.19,150,23.59398
NEACC,121.3,31.19,156,19.0955
NEACC,121.3,31.19,162,18.814991
NEACC,121.3,31.19,168,19.553497
NEACC,121.3,31.19,174,23.253515
NEACC,121.3,31.19,180,19.559011
NEACC,121.3,31.19,186,15.55951
NEACC,121.3,31.19,192,14.430004
NEACC,121.3,31.19,198,15.183508
NEACC,121.3,31.19,204,11.681995
NEACC,121.3,31.19,210,11.288017
NEACC,121.3,31.19,216,12.586009
NEACC,121.3,31.19,222,12.7424965
NEACC,121.3,31.19,228,12.190497
NEACC,121.3,31.19,234,12.627502
NEACC,121.3,31.19,240,12.675506
