,lon,lat,dh,dat
NEACC,121.3,31.19,0,9.418497
NEACC,121.3,31.19,3,14.834503
NEACC,121.3,31.19,6,15.098
NEACC,121.3,31.19,9,12.604516
NEACC,121.3,31.19,12,11.882553
NEACC,121.3,31.19,15,12.949006
NEACC,121.3,31.19,18,12.794012
NEACC,121.3,31.19,21,13.117017
NEACC,121.3,31.19,24,15.06451
NEACC,121.3,31.19,27,17.264008
NEACC,121.3,31.19,30,17.718512
NEACC,121.3,31.19,33,15.952518
NEACC,121.3,31.19,36,13.872007
NEACC,121.3,31.19,39,12.162003
NEACC,121.3,31.19,42,14.214028
NEACC,121.3,31.19,45,14.779005
NEACC,121.3,31.19,48,16.362503
NEACC,121.3,31.19,51,21.356007
NEACC,121.3,31.19,54,21.959005
NEACC,121.3,31.19,57,18.300507
NEACC,121.3,31.19,60,16.050497
NEACC,121.3,31.19,63,15.345516
NEACC,121.3,31.19,66,14.610507
NEACC,121.3,31.19,69,15.273516
NEACC,121.3,31.19,72,18.30951
NEACC,121.3,31.19,78,20.879955
NEACC,121.3,31.19,84,17.03351
NEACC,121.3,31.19,90,13.374025
NEACC,121.3,31.19,96,16.300507
NEACC,121.3,31.19,102,22.605505
NEACC,121.3,31.19,108,15.608503
NEACC,121.3,31.19,114,15.849001
NEACC,121.3,31.19,120,14.114012
NEACC,121.3,31.19,126,13.143515
NEACC,121.3,31.19,132,10.432014
NEACC,121.3,31.19,138,9.336504
NEACC,121.3,31.19,144,9.926499
NEACC,121.3,31.19,150,13.427502
NEACC,121.3,31.19,156,9.349515
NEACC,121.3,31.19,162,8.955984
NEACC,121.3,31.19,168,11.365498
NEACC,121.3,31.19,174,15.308509
NEACC,121.3,31.19,180,12.27651
NEACC,121.3,31.19,186,12.137505
NEACC,121.3,31.19,192,11.659509
NEACC,121.3,31.19,198,14.019497
NEACC,121.3,31.19,204,11.3065
NEACC,121.3,31.19,210,10.559506
NEACC,121.3,31.19,216,11.237008
NEACC,121.3,31.19,222,13.098002
NEACC,121.3,31.19,228,12.450998
NEACC,121.3,31.19,234,11.686007
NEACC,121.3,31.19,240,9.448012
